Sample	Feature	ExpressionGene
BA2409	1	6.7240814115045
BA2496	1	6.45599883472476
BA3037	1	4.29267969728308
BA2865	1	7.34082017175962
BA2751	1	7.22625304922136
BA2286	1	7.03335772337666
BA2488	1	6.28733698625511
BA3379	1	7.1045805500083
BA2887	1	6.98275640527684
BA2712	2	5.93038956442244
BA2068	2	5.89521114196018
BA2104	1	6.26429986711095
BA3124	1	6.49248354368901
BA2449	1	5.89918966262517
BA2235	1	7.04704814373678
BA3038	1	6.43046914091516
BA3006	3	7.35202275514424
BA2667	1	7.16215175411855
BA2239	1	6.92833111291049
BA2782	3	6.1881494364125
BA2649	1	7.30861526987379
BA2861	1	7.2179085684236
BA2134	1	6.389795387917
BA2909	1	6.00760401810435
BA2653	1	6.64966424428309
BA2947	1	7.0549889553605
BA2162	1	5.66661596956027
BA2564	1	6.33600766569699
BA2597	4	5.30025672574144
BA3243	2	6.79931174111644
BA2446	1	7.02624764830014
BA2525	4	5.33325727668396
BA2876	4	4.87307091837154
BA2357	2	5.73934974436077
BA2546	1	5.98097884801574
BA2742	1	6.87718695252014
BA2316	1	6.92303478434711
BA2087	2	6.1821095995856
BA2148	2	4.5255236296775
BA3178	3	7.16876088952225
BA2072	1	6.8175184307766
BA2733	2	5.01531695363561
BA2995	2	5.64653817010519
BA2069	1	7.49042755149826
BA2681	3	6.47571845442986
BA2832	2	6.54255345963774
BA2600	4	5.11328125236518
BA3230	1	6.6396645832219
BA2731	2	5.43769371500229
BA2294	4	7.27378385953679
BA2816	4	6.35951832125277
BA2814	3	6.732801148639
BA2631	1	7.21053357648558
BA2023	1	6.6639864599992
BA2375	1	7.07994856692804
BA2485	1	7.51413414557592
BA2455	4	6.16950493399515
BA2636	4	5.63282770326011
BA2325	1	6.0844698592588
BA2156	1	7.78123623973778
BA2511	4	5.1329891862807
BA2505	4	6.06427837502978
BA2871	3	3.82296440324922
BA2227	1	6.51302546929391
BA2812	3	6.40314188601748
BA2125	1	6.90814621424913
BA2603	1	6.97110220501606
BA2808	4	0.227105256821812
BA2482	1	6.56583781452914
BA2594	1	6.53249965977741
BA2747	4	6.91069984449294
BA2561	3	6.72062167573975
BA2567	3	4.61468245344628
BA2906	1	7.19145743010941
BA2956	2	4.65298561876012
BA2474	1	6.87788091401863
BA2737	2	5.1731127627033
BA2110	1	5.89165055148412
BA2992	4	6.00599295147661
BA2220	1	7.23974353995359
BA2063	2	5.23357427325263
BA2772	2	5.69028030333394
BA2935	4	5.80651617633479
BA2260	3	6.26972531039322
BA2948	3	4.29566916323682
BA3296	1	5.45893049861312
BA2524	4	5.1674510313935
BA2811	1	6.82008128976274
BA2540	4	5.60231976530737
BA2928	1	7.62437772428186
BA2302	4	4.46338478207428
BA2651	4	5.03323587286023
BA2619	1	6.36467185423724
BA3013	4	7.35390839708449
BA2405	3	5.17133494272832
BA2856	3	4.89451135230491
BA2377	2	6.1522898333018
BA2499	2	5.5722787954592
BA3023	4	5.59326337181961
BA2095	1	7.28899814708616
BA2275	1	5.9092894586333
BA2901	2	5.90353378741165
BA2387	1	7.46363654414575
BA2962	1	7.25790347094091
BA2195	4	5.63436770223251
BA2688	2	5.56596083132182
BA2420	1	7.47416545591404
BA2053	2	5.62530338833762
BA2081	1	7.12814379144502
BA2354	1	6.91137383646976
BA3273	2	2.90245258168608
BA2893	3	7.04851156959908
BA2044	1	7.41702873174962
BA2489	2	5.07550246590364
BA2908	1	7.22867709025789
BA2054	3	5.68192875741287
BA2872	1	5.57710363902521
BA2041	2	5.97482137009541
BA2464	1	6.87466227370096
BA2902	4	5.4000323249
BA2541	1	7.19482368325309
BA2843	4	4.89378286978426
BA2497	1	6.42575430557831
BA2718	1	7.56567805381962
BA2575	1	6.39073862378253
BA2593	3	6.6263105848456
BA2791	2	5.76878858309535
BA2620	1	6.67392482770239
BA2629	1	7.49256176412129
BA2870	1	7.74666982029682
BA2682	4	6.06213168198286
BA2276	2	6.23256384367835
BA2709	2	6.1833788007571
BA2789	1	7.34082017175962
BA2538	2	5.06527754778608
BA2583	5	6.37732984108365
BA2806	2	6.08621852980205
BA2441	1	7.44839655086442
BA2514	2	5.00447988229452
BA2520	5	5.86536301251181
BA2479	5	5.29451713018208
BA2281	1	6.87788091401863
BA2932	1	7.70582137825133
BA2123	2	6.39599982532293
BA2844	2	6.35627429889414
BA2660	1	6.84098754890722
BA2836	2	4.58619939617121
BA2714	1	6.82188197814107
BA2440	5	2.38194954250065
BA2036	3	6.85895592875875
BA2828	1	5.93777047922961
BA2952	1	7.1445927897216
BA2410	2	4.87481382301932
BA2139	3	6.24185782368877
BA2051	5	3.74222249554182
BA2532	2	4.89906895806818
BA2494	5	4.8850340180221
BA2748	1	7.40707286933197
BA2622	1	6.51970766408759
BA2970	2	5.24755295562951
BA2839	2	4.57050598081279
BA2868	3	6.99309781087009
BA3011	1	5.49620333322403
BA2052	2	6.02245886806957
BA2510	5	6.43793151264448
BA2691	1	6.06843510757967
BA2374	1	7.00642277827321
BA2804	5	6.34503333401511
BA2675	1	7.10235206017353
BA2031	1	7.10925539195399
BA2198	3	7.25440312060941
BA2066	1	7.26938021173089
BA2344	3	7.46260985261637
BA2459	2	5.71368801694621
BA2229	5	5.40590227988363
BA2559	5	5.6290939324601
BA2093	1	5.51092026987085
BA2000	3	7.17116786854616
BA2425	1	5.8584977958134
BA2905	5	5.49361387353109
BA2304	3	6.02328497818552
BA2976	1	6.4673102312229
BA2386	2	5.5268548517384
BA2035	1	7.1288906231397
BA2760	5	5.41465485346035
BA2201	1	7.07251029744415
BA2355	5	4.41532323585857
BA2113	1	6.94881589861991
BA2955	1	6.52630500155159
BA2322	1	6.32590234144832
BA2020	3	7.56206988956539
BA2226	1	6.7421473941764
BA2376	1	6.6601420957489
BA2121	1	6.93827202821145
BA2944	3	7.40609048790591
BA2033	5	4.4255355439253
BA2867	2	5.44461485443026
BA2089	1	6.37831338727117
BA2224	1	5.98876336939614
BA2046	2	5.08690717420201
BA2972	1	6.65295694076347
BA2978	1	6.1725191860544
BA2851	1	6.6656439229699
BA2587	1	6.82430487390793
BA2024	1	6.16739291737488
BA2426	5	5.90761820174496
BA2271	1	6.57195133441217
BA3004	1	7.27718305881569
BA3010	6	6.40785243829132
BA2662	1	7.00423488076259
BA2658	1	6.51657057172327
BA2512	3	6.36648969189247
BA2109	1	4.73402493935974
BA2242	1	6.34412105865143
BA2132	6	5.44826154156483
BA2846	1	6.09387139945137
BA2521	1	7.02624764830014
BA2885	1	6.59569193185131
BA2639	1	7.29348678773891
BA2775	3	6.54456958822718
BA2402	1	5.83678289113702
BA2097	4	5.89165055148412
BA2399	2	6.8791208631907
BA2174	1	6.49504433110095
BA3001	1	7.67233847579442
BA2911	1	6.6639864599992
BA2311	2	5.98546472831244
BA3040	4	7.4372988989966
BA2724	2	4.95436820669726
BA2821	1	7.09853964665219
BA2233	4	5.47397012091034
BA2744	1	7.52657913903788
